Time (sec),Rate μcal/sec
20,-0.01985562959872671
21,-0.018742728486739663
22,-0.01762982737475262
23,-0.01651692626276557
24,-0.015404025150778527
25,-0.0148749311335921
26,-0.014700626637040115
27,-0.014526322140488135
28,-0.014352017643936149
29,-0.014177713147384165
30,-0.014003408650832182
31,-0.01362005034813041
32,-0.013057170003716354
33,-0.012494289659302297
34,-0.011931409314888243
35,-0.011368528970474183
36,-0.010805648626060128
37,-0.01012681436760214
38,-0.009305108322197164
39,-0.00848340227679219
40,-0.007661696231387218
41,-0.006839990185982243
42,-0.00601828414057727
43,-0.005405953533898586
44,-0.00516909508270112
45,-0.004932236631503654
46,-0.004695378180306186
47,-0.00445851972910872
48,-0.004221661277911254
49,-0.004060128499617196
50,-0.0040981812633956735
51,-0.004136234027174152
52,-0.00417428679095263
53,-0.004212339554731108
54,-0.004250392318509585
55,-0.004244199911340015
56,-0.004041789789531273
57,-0.0038393796677225313
58,-0.0036369695459137893
59,-0.003434559424105047
60,-0.003232149302296305
61,-0.0030587028814659987
62,-0.0031459297694416324
63,-0.0032331566574172665
64,-0.0033203835453929006
65,-0.003407610433368535
66,-0.003494837321344169
67,-0.0035799159169198993
68,-0.003452313564905608
69,-0.0033247112128913163
70,-0.0031971088608770248
71,-0.003069506508862733
72,-0.002941904156848441
73,-0.0028143018048341494
74,-0.002766026019497621
75,-0.0027240895062282133
76,-0.0026821529929588047
77,-0.0026402164796893966
78,-0.0025982799664199885
79,-0.0025563434531505804
80,-0.002585400843424045
81,-0.0026283852674068783
82,-0.0026713696913897122
83,-0.0027143541153725457
84,-0.002757338539355379
85,-0.0028003229633382126
86,-0.0028138362147707274
87,-0.00281731504552257
88,-0.0028207938762744127
89,-0.002824272707026255
90,-0.0028277515377780975
91,-0.00283123036852994
92,-0.0027433485968157197
93,-0.0026088204752019164
94,-0.0024742923535881127
95,-0.002339764231974309
96,-0.002205236110360505
97,-0.0020707079887467015
98,-0.002017127468929052
99,-0.002024116133672161
100,-0.0020311047984152694
101,-0.002038093463158378
102,-0.002045082127901487
103,-0.002052070792644596
104,-0.0020930251236324767
105,-0.002169615563467333
106,-0.0022462060033021885
107,-0.0023227964431370442
108,-0.0023993868829719003
109,-0.002475977322806756
110,-0.002476889725799509
111,-0.002363334344423037
