Time (sec),Rate μcal/sec
20,-0.0161680578143888
21,-0.016046960267192642
22,-0.015925862719996485
23,-0.015445265026221918
24,-0.014906144052771788
25,-0.014367023079321656
26,-0.013461035525329812
27,-0.012151186441497921
28,-0.010841337357666032
29,-0.00950245988051196
30,-0.007896402701555798
31,-0.006290345522599634
32,-0.0046842883436434704
33,-0.00352106088777522
34,-0.002530044990885603
35,-0.0015390290939959867
36,-0.000959207333777531
37,-0.0011919835103140453
38,-0.00142475968685056
39,-0.0016575358633870744
40,-0.002167961335859796
41,-0.002690559324438281
42,-0.003213157313016766
43,-0.0035245383670645942
44,-0.0036829692271419376
45,-0.0038414000872192817
46,-0.003978612190893272
47,-0.004028784089729019
48,-0.004078955988564766
49,-0.004129127887400512
50,-0.004136616652539413
51,-0.004134608681330119
52,-0.004132600710120823
53,-0.004124977277248047
54,-0.004110206893167202
55,-0.004095436509086357
56,-0.004078985231760432
57,-0.004037103666307331
58,-0.003995222100854229
59,-0.003953340535401128
60,-0.003920224272556345
61,-0.003891270882041767
62,-0.0038623174915271884
63,-0.0038255950748422966
64,-0.003770744930426673
65,-0.0037158947860110505
66,-0.003661044641595428
67,-0.0036060469850321512
68,-0.003551036849133172
69,-0.0034960267132341924
70,-0.0034479780467950656
71,-0.0034059074452080806
72,-0.003363836843621095
73,-0.003321852218077328
74,-0.003280318966760456
75,-0.0032387857154435843
76,-0.0031972524641267126
77,-0.0031982524796956495
78,-0.003211109595240426
79,-0.0032239667107852037
80,-0.003242276594518044
81,-0.003268630661023374
82,-0.003294984727528704
83,-0.0033207947516541644
84,-0.003319946699165996
85,-0.0033190986466778284
86,-0.00331825059418966
87,-0.0033176373301194214
88,-0.0033171549916778714
89,-0.003316672653236322
90,-0.0033091187929717267
91,-0.003281850387018642
92,-0.0032545819810655577
93,-0.0032273135751124727
94,-0.0031523493664506325
95,-0.0030708811846921432
96,-0.002989413002933654
97,-0.002827122183310176
98,-0.0025846527309043013
99,-0.0023421832784984264
100,-0.0021162449673907385
101,-0.0020070911706154384
102,-0.0018979373738401385
103,-0.0017887835770648384
104,-0.0018791996065837357
105,-0.002039734764260071
106,-0.0022002699219364065
107,-0.002302512560255609
108,-0.00230201865893435
109,-0.0023015247576130913
110,-0.002301030856291832
111,-0.0023140866274741112
112,-0.002327362718534497
113,-0.0023406388095948824
114,-0.0022558731386722606
115,-0.0021073641439521046
116,-0.001958855149231948
117,-0.0018191701705719471
118,-0.0017104089959425848
119,-0.0016016478213132224
120,-0.0014928866466838598
121,-0.0015778803359181148
122,-0.0016986865355347307
123,-0.0018194927351513465
124,-0.0018776572350488688
125,-0.0018640391863412528
126,-0.0018504211376336361
127,-0.0018279248039977077
128,-0.001706034987871643
129,-0.0015841451717455786
130,-0.0014622553556195138
131,-0.0014542934136151189
132,-0.0014942329641391512
133,-0.0015341725146631835
134,-0.0015830459533995266
135,-0.0016503900689919999
136,-0.0017177341845844728
137,-0.0017850783001769459
138,-0.0017756702840129354
139,-0.0017620522353053228
140,-0.0017484341865977105
141,-0.001711957679101925
142,-0.0016578104481457796
143,-0.0016036632171896343
144,-0.0015395059430477385
145,-0.0014315412756090566
146,-0.0013235766081703742
147,-0.001215611940731692
148,-0.0011944746569910942
149,-0.0011939696228421214
150,-0.0011934645886931487
151,-0.001204411612889214
152,-0.001230916150308729
153,-0.0012574206877282441
154,-0.0012814510804168594
155,-0.0012541698628168107
156,-0.0012268886452167617
157,-0.0011996074276167125
158,-0.001181453206836811
159,-0.0011678351581291976
160,-0.0011542171094215841
161,-0.0011366984871874727
162,-0.001109346024654162
163,-0.001081993562120851
164,-0.0010546410995875403
165,-0.0010763862123764432
166,-0.0011032253340839862
167,-0.0011300644557915292
168,-0.0011142750937828102
169,-0.001060378450876215
170,-0.0010064818079696196
171,-0.0009505150078655268
172,-0.0008828173169756183
173,-0.0008151196260857098
174,-0.0007474219351958012
175,-0.000741518365299311
176,-0.0007544918506410172
177,-0.0007674653359827234
178,-0.0007545349725258107
179,-0.0007007459609638661
180,-0.0006469569494019214
181,-0.0005932968018662998
182,-0.0005523941929366705
183,-0.0005114915840070413
184,-0.00047058897507741207
185,-0.00042126055805204025
186,-0.00036689819178096854
187,-0.00031253582550989695
188,-0.0002179783677911991
189,-1.5390198764672123e-06
190,0.00021490032803826462
191,0.0004313396759529965
192,0.00037829574735646
193,0.0002849842027295056
194,0.00019167265810255126
195,4.484283829100281e-05
220,-0.017603755721869063
221,-0.01760375572186906
222,-0.017393356269645832
223,-0.016925801931371984
224,-0.016458247593098135
225,-0.0159250867822331
226,-0.014546331435748343
227,-0.013167576089263586
228,-0.01178882074277883
229,-0.010706130452575359
230,-0.009753981815429622
231,-0.008801833178283886
232,-0.007915996433374557
233,-0.007177757126023688
234,-0.006439517818672818
235,-0.005701278511321948
236,-0.004440055441103552
237,-0.0031406747572853893
238,-0.0018412940734672267
239,-0.00119117610586333
240,-0.0010637497834428144
241,-0.0009363234610222989
242,-0.0009289304150683981
243,-0.001507582189510493
244,-0.0020862339639525877
245,-0.0026648857383946827
246,-0.003001070068959357
247,-0.0032735760809299726
248,-0.0035460820929005886
